Opérateur;Année;Filière;Consommation Agriculture (MWh);Nombre de points Agriculture;Nombre de mailles secretisées (agriculture);Indique qualité Agriculture;Consommation Industrie (MWh);Nombre de points Industrie;Nombre de mailles secretisées (industrie);Indice qualité Industrie;Consommation Tertiaire  (MWh);Nombre de points Tertiaire;Nombre de mailles secretisées (tertiaire);Indice qualité Tertiaire;Consommation Résidentiel  (MWh);Nombre de points Résidentiel;Nombre de mailles secretisées (résidentiel);Indice qualité Résidentiel;Consommation Secteur Inconnu (MWh);Nombre de points Secteur Inconnu;Nombre de mailles secretisées (secteur inconnu);Indice qualité Non Affecté;Code Région;Libellé Région;id_filiere;Consommation totale (MWh)
GRDF;2017;Gaz;310012.0;161;0;0.975;1733025.0;402;0;0.983;3557613.0;3860;0;0.996;8112611.0;732774;59;0.202;445904.0;552;42;0.919;93;Provence-Alpes-Côte d'Azur;200;14159165.0
GRT Gaz;2017;Gaz;0.0;0;0;0.0;3933623.93;47;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;24;Centre-Val de Loire;200;3933623.93
GRT Gaz;2017;Gaz;0.0;0;0;0.0;7219983.36;42;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;52;Pays de la Loire;200;7219983.36
GRT Gaz;2017;Gaz;0.0;0;0;0.0;29794949.63;52;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;93;Provence-Alpes-Côte d'Azur;200;29794949.63
Regaz Bordeaux;2017;Gaz;22071.53;201;0;0.98;629964.62;1148;0;0.98;1243518.83;6845;0;0.96;2240600.42;218621;6;0.96;260.33;2;0;0.96;75;Nouvelle-Aquitaine;200;4136415.73
Régie Municipale Bazas-Energies;2017;Gaz;86.94;2;0;0.5;25756.3;34;0;0.5;3693.92;89;0;0.5;20331.85;3434;0;0.5;5081.52;44;0;0.5;75;Nouvelle-Aquitaine;200;54950.53
Coopérative d'électricité de Saint Martin de Londres;2018;Electricité;4904.0;495;0;0.0;15708.0;128;0;0.0;99852.0;2837;0;0.0;250970.0;36495;0;0.0;580.0;18;0;0.0;76;Occitanie;100;372014.0
EdF-SEI;2018;Electricité;7441.048;524;0;0.0;114629.916;2749;0;0.0;579488.071;19846;0;0.0;688474.26;197048;0;0.0;75139.044;5919;0;0.0;01;Guadeloupe;100;1465172.339
EdF-SEI;2018;Electricité;23972.09;1562;0;0.0;302133.051;4453;0;0.0;1097729.678;33770;0;0.0;1212141.331;354128;0;0.0;90823.0;8427;0;0.0;04;La Réunion;100;2726799.1500000004
Electricité de Mayotte;2018;Electricité;532.671;115;0;0.0;71243.305;191;0;0.0;33598.091;1030;0;0.0;167863.7447;41085;0;0.0;40710.247;4240;0;0.0;06;Mayotte;100;313948.05870000005
Enedis;2018;Electricité;547046.4378459;18966;0;0.656;2984756.5889613;12805;0;0.681;4315409.57323877;115348;0;0.122;6518662.098;1248662;0;0.563;397962.18579;44971;0;0.589;24;Centre-Val de Loire;100;14763836.88383597
Enedis;2018;Electricité;447196.1080607;19641;0;0.0793;6045983.79211754;20240;0;0.68;6835624.77385233;219634;0;0.59;9239279.992;1987768;0;0.536;412854.98396;57666;0;0.579;44;Grand Est;100;22980939.64999057
Enedis;2018;Electricité;584291.64254;32069;0;0.0954;3811726.23065263;33212;0;0.652;10665806.3881858;353787;0;0.597;15962256.76;3356874;0;0.536;691846.492048;94370;0;0.576;76;Occitanie;100;31715927.513426427
Enedis;2018;Electricité;598827.523391;36813;0;0.504;10303408.4141077;50771;0;0.645;15700257.0479164;485796;0;0.0999;18491762.29;4069535;0;0.522;945431.81758;133326;0;0.577;84;Auvergne-Rhône-Alpes;100;46039687.0929951
Enedis;2018;Electricité;0.0;0;0;0.0;315955.038427;21;0;0.996;23626.731055133;7;0;0.842;0.0;0;1;0.0;85086.6294;4;1;0.932;Fr;Non affecté à une région;100;424668.39888213295
Energie développement services du Briançonnais;2018;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;53158.0;11588;0;0.0;40172.0;246;0;0.0;93;Provence-Alpes-Côte d'Azur;100;93330.0
Energies-services Sainte Marie aux Chênes;2018;Electricité;0.0;0;0;0.0;16959.038;7;0;0.95;686.071;5;0;0.95;12155.029;2284;0;0.95;4322.497;15;0;0.95;44;Grand Est;100;34122.635
Energies et Services ville d'Amneville;2018;Electricité;0.0;0;0;0.0;133.791;1;0;0.95;644.062;5;0;0.95;25548.953;5844;0;0.95;35409.374;74;0;0.95;44;Grand Est;100;61736.18000000001
Gedia;2018;Electricité;0.0;0;0;0.0;35070.806;55;0;0.95;42543.077;140;0;0.95;74774.033;16177;0;0.95;13211.463;111;0;0.95;24;Centre-Val de Loire;100;165599.379
GreenAlp;2018;Electricité;551.0;25;0;0.0;127796.0;674;0;0.0;553843.0;19333;0;0.0;330619.0;115553;0;0.0;0.0;0;0;0.0;84;Auvergne-Rhône-Alpes;100;1012809.0
Régie communale d'électricité d'Uckange;2018;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;14068.987;3275;0;0.95;7311.086;21;0;0.95;44;Grand Est;100;21380.073
Régie communale de distribution d'électricité et d'eau Mitry Mory;2018;Electricité;0.0;0;0;0.0;328.426;3;0;0.95;1571.432;12;0;0.95;25668.23;5002;0;0.95;1352.029;7;0;0.95;11;Île-de-France;100;28920.117
Régie d'électricité d'Aigueblanche;2018;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;4476.0;217;0;0.0;8383.0;1455;0;0.0;0.0;0;0;0.0;84;Auvergne-Rhône-Alpes;100;12859.0
Régie d'électricité de Bitche;2018;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;182.881;2;0;0.95;12947.293;2689;0;0.95;14377.179;63;0;0.95;44;Grand Est;100;27507.353
Régie d'électricité de Saint-Quirc;2018;Electricité;63.0;9;0;0.0;0.0;0;1;0.0;138.0;43;0;0.0;2589.0;479;0;0.0;0.0;0;0;0.0;76;Occitanie;100;2790.0
Régie d'électricité de Tours en Savoie;2018;Electricité;0.0;0;0;0.0;2201.0;11;0;0.0;108.0;17;0;0.0;3016.0;508;0;0.0;60.0;16;0;0.0;84;Auvergne-Rhône-Alpes;100;5385.0
Régie du syndicat intercommunal d'électricité de la vallée de Thônes;2018;Electricité;134.0;2;0;0.0;40761.0;80;0;0.0;50740.0;420;0;0.0;117569.0;23572;0;0.0;2133.0;26;0;0.0;84;Auvergne-Rhône-Alpes;100;211337.0
Régie électrique d'Avrieux;2018;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;3225.0;328;0;0.0;0.0;0;0;0.0;84;Auvergne-Rhône-Alpes;100;3225.0
Régie électrique de Bonneval-sur-Arc;2018;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;3763.0;330;0;0.0;0.0;0;0;0.0;84;Auvergne-Rhône-Alpes;100;3763.0
Régie électrique de La Chapelle;2018;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;74.0;7;0;0.0;1262.0;212;0;0.0;63.0;8;0;0.0;84;Auvergne-Rhône-Alpes;100;1399.0
Régie électrique municipale de Fontpedrouse;2018;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;420.0;1;0;0.0;1352.0;291;0;0.0;0.0;0;0;0.0;76;Occitanie;100;1772.0
Régie Municipale Bazas-Energies;2018;Electricité;0.0;0;1;0.0;15404.0;60;0;0.0;1004.0;59;0;0.0;22548.0;3557;0;0.0;0.0;0;1;0.0;75;Nouvelle-Aquitaine;100;38956.0
Régie municipale d'électricité de Clouange;2018;Electricité;0.0;0;0;0.0;609.392;2;0;0.95;983.165;10;0;0.95;8586.472;2296;0;0.95;1998.041;7;0;0.95;44;Grand Est;100;12177.07
Régie municipale d'électricité de Dalou;2018;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;81.0;6;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;76;Occitanie;100;81.0
Régie municipale d'électricité de Gandrange;2018;Electricité;0.0;0;0;0.0;706.779;7;0;0.95;199.785;3;0;0.95;6458.611;1409;0;0.95;562.546;2;0;0.95;44;Grand Est;100;7927.7210000000005
Régie municipale d'électricité de l'Hospitalet Près L'Andorre;2018;Electricité;0.0;0;0;0.0;0.0;0;1;0.0;439.0;46;0;0.0;250.0;87;0;0.0;0.0;0;0;0.0;76;Occitanie;100;689.0
Régie municipale d'électricité de Saverdun;2018;Electricité;1011.0;47;0;0.0;6292.0;20;0;0.0;7040.0;191;0;0.0;9942.0;2208;0;0.0;0.0;0;0;0.0;76;Occitanie;100;24285.0
Régie municipale d'électricité de Vicdessos;2018;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;2935.0;564;0;0.0;0.0;0;0;0.0;76;Occitanie;100;2935.0
Régie municipale d'électricité de Villarodin-Bourget;2018;Electricité;0.0;0;0;0.0;3964.0;2;0;0.0;841.0;40;0;0.0;4259.0;1294;0;0.0;3243.0;30;0;0.0;84;Auvergne-Rhône-Alpes;100;12307.0
Régie municipale de Saint-Avre;2018;Electricité;103.0;1;0;0.0;628.0;3;0;0.0;274.0;46;0;0.0;3.0;522;0;0.0;0.0;0;0;0.0;84;Auvergne-Rhône-Alpes;100;1008.0
Régie SDED Gervans;2018;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;255.0;2;0;0.0;2094.0;270;0;0.0;527.0;31;0;0.0;84;Auvergne-Rhône-Alpes;100;2876.0
Régie Services Energie;2018;Electricité;3106.0;233;0;0.0;4549.0;43;0;0.0;2146.0;178;0;0.0;65516.0;9563;0;0.0;19688.0;958;0;0.0;84;Auvergne-Rhône-Alpes;100;95005.0
Régies municipales électriques de Capvern;2018;Electricité;0.0;0;1;0.0;1305.0;7;0;0.0;0.0;0;0;0.0;4391.0;1074;0;0.0;490.0;11;0;0.0;76;Occitanie;100;6186.0
RTE;2018;Electricité;0.0;0;0;0.0;707875.876;22;0;0.0;578825.109;51;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;24;Centre-Val de Loire;100;1286700.985
RTE;2018;Electricité;0.0;0;0;0.0;4204176.422;48;0;0.0;237912.793;19;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;28;Normandie;100;4442089.215
RTE;2018;Electricité;0.0;0;0;0.0;1548356.185;21;0;0.0;370338.493;17;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;52;Pays de la Loire;100;1918694.678
RTE;2018;Electricité;0.0;0;0;0.0;1893843.108;39;0;0.0;453762.778;95;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;76;Occitanie;100;2347605.886
RTE;2018;Electricité;0.0;0;0;0.0;10859292.816;127;0;0.0;2315036.151;102;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;84;Auvergne-Rhône-Alpes;100;13174328.967
RTE;2018;Electricité;0.0;0;0;0.0;6016906.043;36;0;0.0;520671.068;48;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;93;Provence-Alpes-Côte d'Azur;100;6537577.111
S.E.R. Des cantons de Lassigny et limitrophes;2018;Electricité;940.0;18;0;0.0;51282.0;27;0;0.0;14255.0;73;0;0.0;73471.0;12226;0;0.0;0.0;0;0;0.0;32;Hauts-de-France;100;139948.0
SAEML Hunelec;2018;Electricité;0.0;0;0;0.0;52791.0;17;0;0.0;4639.0;29;0;0.0;15172.0;4892;0;0.0;0.0;0;0;0.0;44;Grand Est;100;72602.0
SAIC Pers Loisinges;2018;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;6093.889;720;0;0.95;0.0;0;0;0.0;84;Auvergne-Rhône-Alpes;100;6093.889
SEM Beauvois Distrelec;2018;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;527.0;5;0;0.0;5043.0;1045;0;0.0;0.0;0;0;0.0;32;Hauts-de-France;100;5570.0
SICAE de l'Aisne;2018;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;445.0;103;0;0.0;0.0;0;0;0.0;44;Grand Est;100;445.0
SICAE de la Somme et du Cambraisis;2018;Electricité;57476.0;1293;0;0.0;93424.0;39;0;0.0;48095.0;2706;0;0.0;158648.0;26378;0;0.0;0.0;0;0;0.0;32;Hauts-de-France;100;357643.0
